Removal 0: 
Solution 0: 
1 17
11 18
15 20
17 10
17 6
2 21
2 25
21 2
6 16
8 19

Solution 1: 
11 18
15 20
17 10
17 6
2 21
2 25
21 2
3 16
6 16
8 19

Solution 2: 
11 18
15 20
17 10
17 6
2 21
2 25
21 2
3 17
6 16
8 19

Solution 3: 
11 18
15 20
17 10
17 6
2 25
21 2
3 17
4 23
6 16
8 19

Solution 4: 
1 17
11 18
15 20
17 10
17 6
2 25
21 2
4 23
6 16
8 19

Solution 5: 
11 18
15 20
17 10
17 6
2 25
21 2
3 16
4 23
6 16
8 19

Solution 6: 
11 18
15 20
17 10
17 6
21 2
3 16
4 23
4 24
6 16
8 19

Solution 7: 
11 18
15 20
15 24
17 10
17 6
21 2
3 16
4 23
6 16
8 19

Solution 8: 
11 18
15 20
17 10
17 6
18 25
21 2
3 16
4 23
6 16
8 19

Solution 9: 
12 9
15 20
17 10
17 6
18 25
21 2
3 16
4 23
6 16
8 19

Solution 10: 
12 9
15 20
17 10
17 6
18 25
21 2
3 17
4 23
6 16
8 19

Solution 11: 
1 13
12 9
15 20
17 10
17 6
18 25
21 2
4 23
6 16
8 19

Solution 12: 
1 17
12 9
15 20
17 10
17 6
18 25
21 2
4 23
6 16
8 19

Solution 13: 
1 17
12 9
15 20
17 10
17 6
21 2
4 23
4 24
6 16
8 19

Solution 14: 
1 17
12 9
15 20
15 24
17 10
17 6
21 2
4 23
6 16
8 19

Solution 15: 
1 17
12 9
15 20
17 10
17 6
2 25
21 2
4 23
6 16
8 19

Solution 16: 
1 17
11 18
15 20
15 24
17 10
17 6
21 2
4 23
6 16
8 19

Solution 17: 
1 17
11 18
15 20
17 10
17 6
21 2
4 23
4 24
6 16
8 19

Solution 18: 
1 17
11 18
15 20
17 10
17 6
18 25
21 2
4 23
6 16
8 19

Solution 19: 
11 18
15 20
17 10
17 6
18 25
21 2
3 17
4 23
6 16
8 19

Solution 20: 
1 13
11 18
15 20
17 10
17 6
18 25
21 2
4 23
6 16
8 19

Solution 21: 
1 13
11 18
15 20
15 24
17 10
17 6
21 2
4 23
6 16
8 19

Solution 22: 
1 13
11 18
15 20
17 10
17 6
2 25
21 2
4 23
6 16
8 19

Solution 23: 
11 18
15 20
15 24
17 10
17 6
21 2
3 17
4 23
6 16
8 19

Solution 24: 
11 18
15 20
17 10
17 6
21 2
3 17
4 23
4 24
6 16
8 19

Solution 25: 
1 13
11 18
15 20
17 10
17 6
21 2
4 23
4 24
6 16
8 19

Solution 26: 
1 13
12 9
15 20
17 10
17 6
21 2
4 23
4 24
6 16
8 19

Solution 27: 
12 9
15 20
17 10
17 6
21 2
3 16
4 23
4 24
6 16
8 19

Solution 28: 
12 9
15 20
17 10
17 6
21 2
3 17
4 23
4 24
6 16
8 19

Solution 29: 
12 9
15 20
15 24
17 10
17 6
21 2
3 17
4 23
6 16
8 19

Solution 30: 
12 9
15 20
17 10
17 6
2 25
21 2
3 17
4 23
6 16
8 19

Solution 31: 
1 13
12 9
15 20
17 10
17 6
2 25
21 2
4 23
6 16
