Removal 0: 
Solution 0: 
14 17
15 6
18 10
19 14
20 16
23 1
24 3
6 12
7 25
8 20

Solution 1: 
11 14
14 17
15 6
18 10
20 16
23 1
24 3
6 12
7 25
8 20

Solution 2: 
13 12
14 17
15 6
18 10
20 16
23 1
24 3
6 12
7 25
8 20

Solution 3: 
11 13
14 17
15 6
18 10
20 16
23 1
24 3
6 12
7 25
8 20

Solution 4: 
11 13
14 17
15 6
18 10
20 16
23 1
24 3
3 24
6 12
8 20

Solution 5: 
11 14
14 17
15 6
18 10
20 16
23 1
24 3
3 24
6 12
8 20

Solution 6: 
13 12
14 17
15 6
18 10
20 16
23 1
24 3
3 24
6 12
8 20

Solution 7: 
14 17
15 6
18 10
19 14
20 16
23 1
24 3
3 24
6 12
8 20

Solution 8: 
10 18
15 6
18 10
19 14
20 16
23 1
24 3
3 24
6 12
8 20

Solution 9: 
10 18
15 6
18 10
19 14
20 16
23 1
24 3
6 12
7 25
8 20

Solution 10: 
10 18
11 14
15 6
18 10
20 16
23 1
24 3
6 12
7 25
8 20

Solution 11: 
10 18
11 13
15 6
18 10
20 16
23 1
24 3
6 12
7 25
8 20

Solution 12: 
10 18
13 12
15 6
18 10
20 16
23 1
24 3
6 12
7 25
8 20

Solution 13: 
10 18
13 12
15 6
18 10
20 16
23 1
24 3
3 24
6 12
8 20

Solution 14: 
10 18
11 14
15 6
18 10
20 16
23 1
24 3
3 24
6 12
8 20

Solution 15: 
10 18
11 13
15 6
18 10
20 16
23 1
24 3
3 24
6 12
8 20

Solution 16: 
10 18
11 13
15 6
18 10
20 16
23 1
24 3
3 24
6 8
8 20

Solution 17: 
10 18
11 13
15 6
18 10
20 16
23 1
24 3
3 24
4 8
8 20

Solution 18: 
10 18
11 13
15 6
18 10
20 16
23 1
24 3
3 24
4 13
8 20

Solution 19: 
10 18
15 6
18 10
19 14
20 16
23 1
24 3
3 24
4 13
8 20

Solution 20: 
10 18
11 14
15 6
18 10
20 16
23 1
24 3
3 24
4 13
8 20

Solution 21: 
10 18
13 12
15 6
18 10
20 16
23 1
24 3
3 24
4 13
8 20

Solution 22: 
10 18
13 12
15 6
18 10
20 16
23 1
24 3
3 24
6 8
8 20

Solution 23: 
10 18
13 12
15 6
18 10
20 16
23 1
24 3
3 24
4 8
8 20

Solution 24: 
13 12
14 17
15 6
18 10
20 16
23 1
24 3
3 24
4 8
8 20

Solution 25: 
13 12
14 17
15 6
18 10
20 16
23 1
24 3
3 24
6 8
8 20

Solution 26: 
13 12
14 17
15 6
18 10
20 16
23 1
24 3
3 24
4 13
8 20

Solution 27: 
11 13
14 17
15 6
18 10
20 16
23 1
24 3
3 24
4 13
8 20

Solution 28: 
14 17
15 6
18 10
19 14
20 16
23 1
24 3
3 24
4 13
8 20

Solution 29: 
11 14
14 17
15 6
18 10
20 16
23 1
24 3
3 24
4 13
8 20

Solution 30: 
11 13
14 17
15 6
18 10
20 16
23 1
24 3
3 24
6 8
8 20

Solution 31: 
11 13
14 17
15 6
18 10
20 16
23 1
24 3
3 24
4 8
8 20

Solution 32: 
11 13
14 17
15 6
18 10
20 16
23 1
24 3
4 8
7 25
8 20

Solution 33: 
11 13
14 17
15 6
18 10
20 16
23 1
24 3
6 8
7 25
8 20

Solution 34: 
11 13
14 17
15 6
18 10
20 16
23 1
24 3
4 13
7 25
8 20

Solution 35: 
14 17
15 6
18 10
19 14
20 16
23 1
24 3
4 13
7 25
8 20

Solution 36: 
11 14
14 17
15 6
18 10
20 16
23 1
24 3
4 13
7 25
8 20

Solution 37: 
13 12
14 17
15 6
18 10
20 16
23 1
24 3
4 13
7 25
8 20

Solution 38: 
13 12
14 17
15 6
18 10
20 16
23 1
24 3
6 8
7 25
8 20

Solution 39: 
13 12
14 17
15 6
18 10
20 16
23 1
24 3
4 8
7 25
8 20

Solution 40: 
10 18
13 12
15 6
18 10
20 16
23 1
24 3
4 8
7 25
8 20

Solution 41: 
10 18
13 12
15 6
18 10
20 16
23 1
24 3
6 8
7 25
8 20

Solution 42: 
10 18
13 12
15 6
18 10
20 16
23 1
24 3
4 13
7 25
8 20

Solution 43: 
10 18
11 14
15 6
